Rank,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
147,30,26,79,15,1,0,628756.44,296.2,57.2,65.8,1.77,45.2,10.0,272.0,912.0,203.0
148,42,27,77,13,1,0,607891.6,280.3,63.2,63.6,1.76,56.6,3.0,264.0,894.0,209.0
149,40,26,81,15,1,0,601163.7,286.2,60.3,61.9,1.77,43.4,8.0,267.0,931.0,221.0
150,36,27,80,16,1,0,599175.9,286.3,60.7,66.6,1.76,40.9,9.0,279.0,918.0,211.0
151,30,28,89,17,0,0,580734.06,288.1,64.5,67.2,1.77,41.7,8.0,307.0,1014.0,240.0
152,34,28,78,12,1,0,579666.5,294.7,54.6,66.2,1.79,48.7,4.0,277.0,873.0,208.0
153,35,22,57,8,2,0,570739.7,286.6,59.0,64.3,1.78,58.2,4.0,183.0,671.0,135.0
154,35,11,36,9,0,0,561779.25,291.13,60.33,65.8,1.77,49.94,3.0,114.0,402.0,118.0
155,28,26,77,13,2,0,561558.75,289.5,55.8,62.5,1.77,50.0,9.0,255.0,869.0,216.0
156,48,21,66,12,1,0,559023.94,292.8,52.9,61.2,1.76,41.9,9.0,218.0,725.0,204.0
157,35,27,79,15,0,0,557020.2,293.1,57.3,66.2,1.8,47.7,9.0,256.0,925.0,210.0
158,33,23,68,12,1,0,521983.06,291.4,60.6,66.2,1.77,52.4,7.0,262.0,742.0,180.0
159,42,13,41,10,0,0,520051.63,291.13,60.33,65.8,1.77,49.94,3.0,124.0,470.0,128.0
160,37,4,14,3,1,0,518642.84,291.13,60.33,65.8,1.77,49.94,1.0,47.0,164.0,37.0
161,33,28,79,13,0,0,517737.63,285.2,58.0,65.5,1.8,53.2,6.0,262.0,910.0,221.0
162,30,24,65,9,1,0,510078.56,291.8,59.8,64.4,1.79,47.9,5.0,222.0,729.0,188.0
163,30,27,79,13,0,0,503993.44,296.5,56.6,65.3,1.78,47.1,3.0,286.0,866.0,238.0
164,46,23,69,13,0,0,500214.13,282.7,62.2,61.4,1.75,57.3,4.0,233.0,808.0,181.0
165,46,29,81,13,1,0,484954.88,297.7,59.2,69.8,1.82,40.5,7.0,278.0,910.0,228.0
166,24,24,69,12,0,0,477843.28,286.3,59.2,62.7,1.77,55.3,2.0,231.0,774.0,202.0
167,24,12,38,7,1,0,476621.34,291.13,60.33,65.8,1.77,49.94,1.0,133.0,423.0,116.0
168,35,21,63,11,1,0,462427.44,281.2,55.3,63.6,1.79,45.6,5.0,193.0,742.0,174.0
169,34,26,71,11,1,0,458891.0,288.9,43.0,54.5,1.78,57.4,4.0,214.0,735.0,241.0
170,36,27,79,14,0,0,450056.13,287.0,52.2,62.1,1.78,45.3,7.0,264.0,899.0,214.0
171,34,15,41,6,2,0,446564.66,291.13,60.33,65.8,1.77,49.94,1.0,154.0,467.0,100.0
172,44,19,61,11,0,0,437855.28,296.9,58.4,70.4,1.81,43.8,6.0,216.0,698.0,162.0
173,28,19,55,9,1,0,427441.63,289.3,55.5,63.1,1.73,50.7,7.0,200.0,621.0,137.0
174,43,27,74,12,0,0,416653.88,289.2,63.6,66.5,1.78,42.6,7.0,256.0,844.0,185.0
175,43,26,80,14,1,0,416032.66,285.6,60.8,66.4,1.79,46.4,1.0,267.0,930.0,215.0
176,37,30,81,11,0,0,415582.63,287.5,59.2,65.6,1.78,52.7,4.0,267.0,946.0,215.0
177,34,25,66,10,1,0,410245.84,285.0,59.3,63.9,1.81,43.7,2.0,212.0,766.0,168.0
178,29,20,59,10,1,0,403437.22,289.8,60.4,67.4,1.77,47.9,6.0,211.0,670.0,157.0
179,40,22,59,8,1,0,397595.47,291.9,61.2,63.7,1.78,45.5,7.0,198.0,662.0,173.0
180,32,11,30,6,0,0,390674.0,291.13,60.33,65.8,1.77,49.94,1.0,88.0,358.0,76.0
181,29,22,63,10,0,0,380024.6,285.7,64.8,63.9,1.81,52.7,4.0,197.0,749.0,172.0
182,35,18,49,7,1,0,373980.44,294.7,65.6,64.6,1.79,44.4,4.0,159.0,582.0,119.0
183,42,13,45,9,1,0,370256.25,291.13,60.33,65.8,1.77,49.94,4.0,126.0,535.0,117.0
184,35,6,16,3,1,0,353348.0,291.13,60.33,65.8,1.77,49.94,1.0,61.0,177.0,44.0
185,30,8,23,6,0,0,348340.0,291.13,60.33,65.8,1.77,49.94,4.0,65.0,254.0,61.0
186,34,23,66,11,0,0,347686.38,290.5,72.4,70.2,1.83,44.1,6.0,217.0,768.0,184.0
187,29,21,55,8,0,0,342097.84,294.7,61.0,63.2,1.76,43.7,5.0,196.0,606.0,159.0
188,35,4,16,4,1,0,336762.0,291.13,60.33,65.8,1.77,49.94,,,,
189,29,29,85,15,0,0,332532.8,296.8,63.1,69.0,1.8,39.8,10.0,303.0,944.0,243.0
190,48,8,24,6,0,0,326949.7,291.13,60.33,65.8,1.77,49.94,,,,
191,43,15,45,9,0,0,313456.3,291.13,60.33,65.8,1.77,49.94,5.0,151.0,529.0,113.0
192,43,21,62,11,0,0,306866.25,274.7,66.2,65.0,1.81,55.0,3.0,187.0,739.0,169.0
193,41,18,51,9,0,0,305250.0,282.3,59.5,65.4,1.79,43.0,3.0,185.0,561.0,155.0
194,35,25,70,11,0,0,301696.8,290.2,56.9,66.8,1.78,38.2,9.0,243.0,777.0,213.0
195,48,14,41,7,0,0,297238.0,291.13,60.33,65.8,1.77,49.94,1.0,132.0,475.0,117.0
196,31,21,67,13,0,0,290888.7,288.1,63.4,68.2,1.78,50.0,6.0,231.0,788.0,162.0
197,45,13,40,7,0,0,288428.0,291.13,60.33,65.8,1.77,49.94,1.0,120.0,470.0,114.0
198,43,24,66,11,0,0,280674.34,287.3,59.3,67.5,1.84,47.7,4.0,182.0,788.0,200.0
199,46,13,34,4,1,0,280619.16,291.13,60.33,65.8,1.77,49.94,,,,
200,48,22,63,12,0,0,277117.72,294.6,58.1,63.1,1.82,42.9,3.0,191.0,706.0,182.0
